gdsn_attribute_name,gdsn_occurrences,gdsn_bms_ids,gdsn_data_type,gdsn_code_list,proposed_webvoc_property,proposed_webvoc_label,proposed_webvoc_range,match_percentage,suggestion_status,auto_emit,match_reasons,second_candidate,second_percentage,third_candidate,third_percentage,source_versions,review_note,review_consensus_status,reviewer_count,accept_count,needs_human_review_count,reject_count,no_equivalent_count,mean_reviewer_confidence,reviewer_decisions,recommended_action
acidificationMeasurement/@measurementUnitCode,1,2395,MeasurementUnitCode,MeasurementUnitCode_GDSN,gs1:unitCode,Measurement Unit,xsd:string,65.6,review_candidate,false,"matige naamgelijkenis (58%); gedeelde termen: measurement, unit; definitie-overlap: measure, unit, used; datatype/range broadly compatible; codelijstsignaal",gs1:qualifyingProductClassificationCode,19.5,gs1:certificationStatement,18.6,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,76.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
activeIngredientStatement,1,8785,Description5000,,gs1:ingredientStatement,Ingredient Statement,rdf:langString,64.7,review_candidate,false,"sterke naamgelijkenis (84%); gedeelde termen: ingredient, statement; datatype/range broadly compatible",gs1:ingredient,38.9,gs1:ingredientName,29.2,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,3,1,2,0,0,70.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
additionalTradeItemClassificationCodeDescription,1,174,Description200,,gs1:additionalProductClassificationCodeDescription,Additional Product Classification Code Description,rdf:langString,63.7,review_candidate,false,"sterke naamgelijkenis (76%); gedeelde termen: additional, classification, description; definitie-overlap: additional, classification, description; datatype/range broadly compatible",gs1:additionalProductClassificationCode,46.1,gs1:additionalProductClassification,43.0,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,1,3,0,0,75.0,antigravity=needs_human_review | gemini=accept | deepresearch=needs_human_review | chatgpt=needs_human_review,Keep review-only; authoritative standards review required.
additiveName,3,1272 | 1630 | 8660,string,,gs1:additiveName,Additive Name,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: additive; definitie-overlap: additive, any, contained, genetic, modification; datatype/range broadly compatible",gs1:additive,73.5,gs1:additiveLevelOfContainment,29.7,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,0,0,0,99.3,antigravity=accept | gemini=accept | deepresearch=alternative gs1:additive: needs_human_review | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
alcoholicBeverageSubregion,1,349,string,,gs1:alcoholicBeverageSubregion,Alcoholic Beverage Sub-region,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: alcoholic, beverage, subregion; definitie-overlap: also, appellation, defined, geographical, grapes, grown, legally, region; datatype/range broadly compatible",gs1:sweetnessLevelOfAlcoholicBeverage,34.3,gs1:beverageVintage,21.7,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",strong_accept_consensus,4,3,1,0,0,97.2,antigravity=accept | gemini=accept | deepresearch=needs_human_review | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
allergenSpecificationAgency,1,368,string,,gs1:allergenSpecificationAgency,Allergen Specification Agency,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: agency, allergen, specification; definitie-overlap: agency, allergen; datatype/range broadly compatible",gs1:allergenSpecificationName,53.0,gs1:certificationAgency,35.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,4,1,1,2,0,96.0,antigravity=accept | gemini=reject | deepresearch=reject | chatgpt=needs_human_review,Keep review-only; resolve conflicting semantics or target property.
allergenSpecificationName,1,369,string,,gs1:allergenSpecificationName,Allergen Specification Name,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: allergen, specification; definitie-overlap: allergen, containing, field, free, regulation, standard, text, version; datatype/range broadly compatible",gs1:allergenSpecificationAgency,53.6,gs1:allergenType,39.4,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,4,1,1,2,0,96.0,antigravity=accept | gemini=reject | deepresearch=reject | chatgpt=needs_human_review,Keep review-only; resolve conflicting semantics or target property.
allergenStatement,1,370,Description1000,,gs1:allergenStatement,Allergen Statement,rdf:langString,100.0,strong_candidate,false,"exacte naam; gedeelde termen: allergen, statement; definitie-overlap: absence, allergens, description, governed, local, one, presence, regulations; datatype/range broadly compatible",gs1:hasAllergen,39.5,gs1:allergenType,37.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",unanimous_accept,4,4,0,0,0,99.2,antigravity=accept | gemini=accept | deepresearch=accept | chatgpt=accept,Eligible for human promotion review; structure and codelists still required.
allergenStatement/@languageCode,1,371,LanguageCode,LanguageCode,gs1:allergenStatement,Allergen Statement,rdf:langString,64.3,review_candidate,false,"matige naamgelijkenis (71%); gedeelde termen: allergen, statement; datatype/range broadly compatible",gs1:fileLanguageCode,37.0,gs1:allergenType,34.9,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",conflicted,3,1,1,0,1,84.0,antigravity=needs_human_review | gemini=accept | deepresearch=not_reviewed | chatgpt=no_equivalent,Keep review-only; resolve conflicting semantics or target property.
animalNutritionalClaim,1,386,Description5000,,gs1:nutritionalClaim,Nutritional Claim Code,gs1:NutritionalClaimTypeCode,69.1,review_candidate,false,"sterke naamgelijkenis (82%); gedeelde termen: claim, nutritional; definitie-overlap: free, nutritional; datatype/range broadly compatible",gs1:nutritionalClaimStatement,52.7,gs1:nutritionalInfo,34.3,GDSN 3.1.36; WebVoc 1.17,"Heuristic candidate only; verify semantics, domain, range, cardinality and codelists before promotion.",human_review,4,1,1,0,0,72.0,antigravity=needs_human_review | gemini=accept | deepresearch=alternative gs1:nutritionalClaimStatement: needs_human_review | chatgpt=alternative gs1:nutritionalClaimStatement: needs_human_review,Keep review-only; authoritative standards review required.
