candidate_id,scope_group,gdsn_attribute_name,jsonld_property,gdsn_bms_id,gdsn_xpath,jsonld_range_or_type,review_status,confidence,notes,webvoc_validation,source
functional_name,Core product,functionalName,gs1:functionalName,,,language string,proposed,medium,Mapped example output; confirm official BMS/XPath.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
gpc_description,Classification,gpcCategoryDescription,gs1:gpcCategoryDescription,,,language string,proposed,medium,Companion to the accepted GPC code.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
target_market,Target market,targetMarket,gs1:targetMarket,,,gs1:TargetMarketDetails,proposed,medium,Review country and availability child paths.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
alcohol_percentage,Food/beverage,percentageOfAlcoholByVolume,gs1:percentageOfAlcoholByVolume,,,xsd:float,proposed,medium,Only valid for a compatible product domain.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
ingredient_details,Ingredients,foodAndBeverageIngredient,gs1:ingredient,,,gs1:FoodBeverageTobaccoIngredientDetails,proposed,medium,Use official ingredient object; ingredientPurpose remains unmapped.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
nutrient_basis,Nutrition,nutrientBasisQuantity,gs1:nutrientBasisQuantity,,,gs1:QuantitativeValue,proposed,medium,Nutrient-specific properties still require code-aware review.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
nutrient_precision,Nutrition,measurementPrecisionCode,gs1:nutrientMeasurementPrecision,,,code,proposed,medium,Confirm codelist URI construction.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
packaging,Packaging,packaging,gs1:packaging,,,gs1:PackagingDetails,proposed,medium,Review packaging type and repeated material details.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
warning_copy,Safety,drugSideEffectsAndWarnings,gs1:warningCopyDescription,,,language string,review_required,low,Lossy: pharmaceutical source semantics are broader than generic warning copy.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
additional_classification,Classification,additionalTradeItemClassification,gs1:additionalProductClassification,,,gs1:AdditionalProductClassificationDetails,proposed,medium,Example uses INTRASTAT; confirm source hierarchy.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
country_of_origin,Provenance,countryOfOrigin,gs1:countryOfOrigin,,,gs1:Country,proposed,medium,Confirm country-code representation.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
in_package_depth,Measurements,depth,gs1:inPackageDepth,,,gs1:QuantitativeValue,proposed,medium,Confirm packaging-level XPath and unit code.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
in_package_height,Measurements,height,gs1:inPackageHeight,,,gs1:QuantitativeValue,proposed,medium,Confirm packaging-level XPath and unit code.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
in_package_width,Measurements,width,gs1:inPackageWidth,,,gs1:QuantitativeValue,proposed,medium,Confirm packaging-level XPath and unit code.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
gross_weight,Measurements,grossWeight,gs1:grossWeight,,,gs1:QuantitativeValue,proposed,medium,Add physical consistency checks.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
net_weight,Measurements,netWeight,gs1:netWeight,,,gs1:QuantitativeValue,proposed,medium,Add physical consistency checks.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
information_provider,Organizations,informationProviderOfTradeItem,gs1:partyGLN; gs1:organizationName,,,gs1:Organization,review_required,low,Organization node is safe; exact information-provider relationship is unresolved.,all target terms found,Provided JSON-LD example + GS1 WebVoc snapshot
